Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
819,Haier 1.5 Ton 3 Star Split Inverter AC  - White,4,"65,990",N/A,N/A, 1089.14 kWh, 111 - 150 ,1 Year Warranty on Product and 12 Years on Compressor
820,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,4.3,"51,990",N/A,N/A, 1096.98 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Voltas
821,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"60,990","62,990",3%, 1435 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years on Compressor
822,Haier 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"62,990",N/A,N/A, 1089.14 kWh, 111 - 150 ,5 Years Comprehensive Warranty (Including Gas) and 12 Years Compressor Warranty from Haier
823,Midea 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"68,999",N/A,N/A, 841.86 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
824,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,3.3,"40,958","58,400",29%, 967.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
825,Daikin 1.5 Ton 4 Star Hot and Cold Split Inverter AC  - White,4.2,"44,316","61,300",27%, 881.05 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
826,Midea 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"59,999",N/A,N/A, 1035.17 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
827,ONIDA 1 Ton 5 Star Split Inverter AC  - White,4.2,"52,999","53,990",1%, 578.86 kWh,90,1 Year on Product and 5 Year on Compressor from Onida
828,Daikin 1 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,N/A,"35,661","50,700",29%, 620.32 kWh,90,1 Year Warranty on Product
829,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4,"56,999","69,999",18%, 735.4 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor from Voltas
830,Lloyd 1.5 Ton 3 Star Split AC  - White,4.1,"52,990",N/A,N/A, 1114.71 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor from LLOYD
831,Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter with Wi-fi Connect  - White,4,"71,200",N/A,N/A, 785.67 kWh, 111 - 150 ,1 Year Warranty on Product
832,GREE 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - Champagne/White,N/A,"98,990","1,28,174",22%, 1230 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
833,"Lloyd Stylus 6 in 1 Convertible, Changeable AC Facia 2024 Model 1.5 Ton 3 Star Split Inverter Anti-Vir...",3.2,"39,500","69,990",43%, 990.77 W, 111 - 150 ,1 Year Comprehensive Warranty on AC
834,SAMSUNG 2024 Model 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"55,990","83,990",33%, 1145.22 kWh, 151 - 200 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
835,O General 1 Ton 3 Star Split Inverter AC  - White,N/A,"43,210","44,210",2%, 1410 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
836,"Hitachi 1.5 Ton 5 Star Split Inverter AC  - White, Gold",3.9,"66,600",N/A,N/A, 897.84 kWh, 111 - 150 ,1 Year Warranty on Complete Product and 10 Years on Compressor
837,Haier 1.5 Ton 3 Star Split AC  - White,4.1,"49,402","60,990",18%, 1123.23 kWh, 111 - 150 ,1 Year Warranty on Product and 6 Years on Compressor From Haier
838,LG 2023 Model 1 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,5,"52,999","78,990",32%, 685.26 kWh,90,1 Year Comprehensive Warranty and 10 Years Compressor Warranty
839,O General 1 Ton 3 Star Split Inverter AC  - White,N/A,"42,000","43,160",2%, 530.44 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
840,ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"37,175","62,490",40%, 860.67 kWh, 111 - 150 ,1 Year on Product and 5 Year on Compressor from Onida
841,IFB 1 Ton 3 Star Split Inverter AC  - White,4.2,"40,500",N/A,N/A, 1050.84 kWh,90,1 Year Warranty on Product
842,CARRIER 1.5 Ton 4 Star Split Inverter AC  - White,3.3,"68,490",N/A,N/A, 1595 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
843,Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC with Wi-fi Connect  - White,4.2,"63,000",N/A,N/A, 824.08 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Daikin
844,IFB 7 Stage Air Treatment 1 Ton 3 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,3.8,"40,490",N/A,N/A, 732.29 kWh,90,1 year warranty on product + 5 years on ODU PCB
845,Daikin 1.5 Ton 3 Star Split AC  - White,3.7,"53,610","55,600",3%, 1009.44 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 5 Years on Compressor
846,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,3.3,"52,191","57,990",10%, 967.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
847,"Haier Frost Self-Clean 2023 Model 1.5 Ton 4 Star Split Inverter Intelli Smart,? Intelli Convertible 7-...",4,"42,091","69,990",39%, 886.36 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 12 Years Warranty on Compressor
848,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,N/A,"65,000","65,990",1%, 1380 kWh, 111 - 150 ,1 Year Warranty on Product
849,"Hitachi 1.5 Ton 3 Star Split Inverter AC  - White, Gold",3.9,"57,899","57,900",N/A, 1098.1 kWh, 111 - 150 ,1 Year Warranty on Complete Product and 10 Years on Compressor
850,Blue Star 1 Ton 5 Star Split Inverter AC  - White,N/A,"66,999","70,000",4%, 536.27 W,90,1 Year Warranty on Product
851,Daikin 1.5 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,4.2,"57,659","61,999",7%, 966.47 kWh, 111 - 150 ,1 Year Warranty on Product
852,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"40,506","60,990",33%, 1002.76 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
853,LG 1 Ton 5 Star Split Dual Inverter AC  - White,N/A,"63,439","64,990",2%, 521.2 kWh,90,1 Year Warranty on Product
854,O General 2.1 Ton 3 Star Split AC  - White,N/A,"71,000","74,740",5%, 980 kWh,,
855,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"61,999","64,999",4%, 2631.91 kWh, 111 - 150 ,1 year comprehensive+10year on compressor
856,Lloyd 1.2 Ton 5 Star Split Inverter AC  - White,4.1,"56,500","56,990",N/A, 690.69 kWh, 91 - 110 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
857,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"65,999","68,990",4%, 892.32 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Voltas
858,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,2.5,"57,659","61,999",7%, 1134.28 kWh, 111 - 150 ,1 Year Warranty on Product
859,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,N/A,"58,400",N/A,N/A, 966.47 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
860,CARRIER 2023 Model 1.5 Ton 4 Star Split Inverter AC  - White,4.2,"64,890","72,990",11%, 859.34 kWh, 111 - 150 ,1 Year Warranty on Product
861,Daikin 1 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,N/A,"49,289","52,999",7%, 680.4 kWh,90,1 Year Warranty on Product
862,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.2 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",4.1,"54,500","57,500",5%, 865.48 kWh, 91 - 110 ,1 Year Warranty on Product and 10 Years Warranty on Compressor from Blue Star
863,LG 1.5 Ton 3 Star Split Inverter AC  - White,4.3,"59,990",N/A,N/A, 2250 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor From LG
864,LG 1.5 Ton 3 Star Split Inverter AC  - White,4.3,"59,990",N/A,N/A, 2250 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor From LG
865,O General 1.5 Ton Split Inverter AC  - White,N/A,"73,740","74,740",1%, 111 - 150 sqft,,
866,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with ...",4.2,"54,999","74,990",26%, 968.04 kWh, 111 - 150 ,1 Year Warranty on Product
867,Godrej 1.5 Ton 3 Star Split AC  - White,4.1,"40,000","46,900",14%, 1137.94 kWh, 111 - 150 ,1 Year on Product and Condenser Coil Warranty and 5 Years on Compressor Warranty from Godrej
868,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC ...,4,"61,999","64,999",4%, 1015.5 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
869,LG 1.5 Ton 3 Star Split Inverter 5 in 1 Convertible AC  - White,4.1,"55,990",N/A,N/A, 1740 kWh, 111 - 150 ,10 Years on Compressor with free gas recharge*
870,CARRIER Convertible 6-in-1 Cooling 2023 Model 1.2 Ton 5 Star Split AI Flexicool Inverter Dual Filtrati...,3.9,"66,590",N/A,N/A, 612.82 kWh, 91 - 110 ,1 Year Warranty on Product
871,Blue Star Convertible 4-in-1 Cooling 1.2 Ton 3 Star Split Inverter AC  - White,4,"55,889","59,999",6%, 915.04 kWh, 91 - 110 ,1 Year on Product and 10 Years Warranty on Compressor
872,Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"42,999","54,999",21%, 676.37 kWh,90,1 Year Comprehensive Warranty
873,"LG Super Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with...",4.1,"44,572","57,990",23%, 642.26 kWh,90,1 Year Warranty on Product
874,Voltas 2 in 1 Convertible Cooling 1.6 Ton 3 Star Split Inverter AC  - White,4.2,"67,999","68,990",1%, 960 kWh, 151 - 200 ,1 Year on Product and 5 Years on Compressor from Voltas
875,Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"29,990","45,990",34%, 571.99 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
876,CARRIER 1.2 Ton 5 Star Split Inverter AC  - White,3.9,"66,590",N/A,N/A, 612.82 kWh, 91 - 110 ,1 Year Warranty on Product and 10 Years on Compressor
877,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.6 Ton 3 Star Split Inverter Smart Ready, 7 Stage...",3.8,"43,400","60,000",27%, 1083.54 kWh, 151 - 200 ,1 Year Warranty on Product
878,O General 2 Ton 5 Star Split Inverter AC  - White,N/A,"78,000","90,000",13%, 823.65 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From O-General
879,Daikin 1.8 Ton Split Inverter AC  - White,N/A,"66,999","80,000",16%, 151 - 200 sqft,,
880,LG 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"58,300","70,000",16%, 1220.4 W, 151 - 200 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
881,LG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"51,400","85,000",39%, 744.99 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
882,LG 1 Ton 3 Star Split Inverter AC  - White,N/A,"38,999","67,000",41%, 642.26 W,90,1 Year Warranty on Product and 5 Years Warranty on Compressor
883,"Hitachi 2 Ton 5 Star Split Inverter AC  - White, Gold",3.5,"65,500","79,000",17%, 1456 kWh, 151 - 200 ,1 Year Warranty on Product and 5 Years on Compressor
884,O General 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"67,000","80,000",16%, 1432.1 W, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
885,Daikin 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"50,000","58,599",14%, 989.31 W, 111 - 150 ,1 Year Warranty on Product
886,SAMSUNG 2023 Model 1 Ton 3 Star Split Inverter AC  - White,4.3,"60,990",N/A,N/A, 624.48 kWh,90,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
887,SAMSUNG 1.5 Ton 4 Star Split Inverter AC  - White,N/A,"64,990",N/A,N/A, 850.19 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
