Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
702,IFB 1.5 Ton 5 Star Split Inverter AC  - White,4,"45,600","57,460",20%, 867.16 kWh, 111 - 150 ,1 Year Warranty on Product
703,"Hitachi 1.5 Ton 3 Star Split AC  - Gold, White",4,"41,500","50,900",18%, 1157.29 kWh, 111 - 150 ,1 Year Warranty on Complete Product and 5 Years on Compressor
704,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...",4.1,"51,990","81,990",36%, 685.26 kWh, 111 - 150 ,1 Year Warranty on Product
705,CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,4.3,"47,800","76,090",37%, 754.05 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
706,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"41,500","59,000",29%, 975.37 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Inverter Compressor
707,Lloyd 1.5 Ton 4 Star Split Inverter AC  - White,4.5,"40,200","59,900",32%, 972.33 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor
708,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,4,"62,999","65,999",4%, 989.55 kWh, 111 - 150 ,1 year comprehensive+5year on compressor
709,Lloyd 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"42,900","69,990",38%, 780.56 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
710,Lloyd 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,3,"36,990","50,990",27%, 1835 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
711,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 3 Star Split Inverter wi...,4.1,"58,500","70,500",17%, 1234.16 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product
712,BLACK+DECKER 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"45,999","66,999",31%, 706.85 W, 111 - 150 ,2 Years Comprehensive Warranty on Peoduct
713,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"42,989","60,990",29%, 977.8 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
714,Daikin 2.02 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,3.5,"62,990","86,800",27%, 1372.85 kWh,,
715,SAMSUNG 2023 Model 2 Ton 3 Star Split Inverter AC  - White,N/A,"52,990","82,990",36%, 1145.22 kWh, 151 - 200 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
716,Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC  - White,4.2,"51,900","55,400",6%, 1415 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor From Daikin
717,"Haier 1.5 Ton 3 Star Split Inverter with Turbo Mode, Micro Anti-Bacterial Filter, 54 High Ambient Perf...",N/A,"36,250","61,000",40%, 1045.04 W, 111 - 150 ,1 Year Warranty on Product and 6 Years Warranty on Compressor
718,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,3.4,"44,890","69,990",35%, 921 kWh, 111 - 150 ,1 Year on Product
719,Lloyd 2 Ton 3 Star Split Inverter AC  - White,N/A,"52,899","80,990",34%, 1301.79 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
720,Lloyd 1 Ton 2 Star Split Inverter AC  - White,N/A,"28,990","46,990",38%, 735.4 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
721,Daikin 1 Ton 3 Star Split Inverter AC  - White,3.8,"33,949","48,200",29%, 68.4 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
